车型,城市,上牌量,级别,指导价(万元),能源类型,cluster
凯美瑞,北京,551,中型车,17.18-25.98,燃油车,13
小鹏P7+,郑州,101,中大型车,18.68-20.88,新能源,11
星愿,菏泽,548,小型车,6.88-9.78,燃油车,8
帕萨特,成都,545,中型车,16.45-23.99,燃油车,5
奥迪A6L,北京,544,中大型车,42.79-65.68,燃油车,8
朗逸,成都,542,紧凑型车,8.00-15.19,燃油车,8
速腾,成都,542,紧凑型车,12.79-17.29,燃油车,8
迈腾,长春,542,中型车,17.49-24.69,燃油车,6
轩逸,长沙,541,紧凑型车,10.86-17.49,燃油车,10
星愿,济南,533,小型车,6.88-9.78,燃油车,8
星愿,重庆,533,小型车,6.88-9.78,燃油车,8
深蓝S05,济南,101,SUV,11.99-14.99,新能源,9
MG5,深圳,529,紧凑型车,6.79-9.99,燃油车,10
问界M8,贵阳,101,SUV,35.98-44.98,新能源,9
秦PLUS,贵阳,101,紧凑型车,7.98-17.98,新能源,0
星愿,天津,529,小型车,6.88-9.78,燃油车,8
极氪007GT,福州,101,中型车,20.29-26.29,新能源,7
途观L,上海,528,SUV,18.68-26.68,燃油车,8
星愿,宁波,523,小型车,6.88-9.78,燃油车,8
MG5,南京,518,紧凑型车,6.79-9.99,燃油车,10
宏光MINIEV,柳州,1016,微型车,3.28-9.99,新能源,8
Model 3,上海,1019,中型车,23.19-33.95,新能源,8
雷克萨斯ES,东莞,512,中大型车,29.69-48.89,燃油车,12
元UP,邢台,102,SUV,9.68-11.98,新能源,9
元UP,厦门,102,SUV,9.68-11.98,新能源,9
宋L DM-i,无锡,102,SUV,13.58-17.58,新能源,9
卡罗拉,杭州,511,紧凑型车,11.68-15.58,燃油车,10
海豹06新能源,泉州,102,中型车,9.98-13.98,新能源,7
极氪007GT,青岛,102,中型车,20.29-26.29,新能源,7
星越L,郑州,507,SUV,13.72-17.97,燃油车,8
雷克萨斯ES,佛山,506,中大型车,29.69-48.89,燃油车,8
奥迪Q5L,成都,505,SUV,34.98-48.88,燃油车,13
逸动,重庆,502,紧凑型车,7.29-9.69,燃油车,3
星愿,成都,500,小型车,6.88-9.78,燃油车,13
别克GL8,上海,496,MPV,23.29-47.39,燃油车,6
腾势D9,东莞,102,MPV,33.98-66.00,新能源,0
迈腾,郑州,495,中型车,17.49-24.69,燃油车,6
星越L,杭州,495,SUV,13.72-17.97,燃油车,8
奥迪Q5L,北京,494,SUV,34.98-48.88,燃油车,8
星愿,金华,494,小型车,6.88-9.78,燃油车,8
firefly萤火虫,上海,489,小型车,11.98-12.58,燃油车,6
速腾,石家庄,487,紧凑型车,12.79-17.29,燃油车,10
RAV4荣放,沈阳,487,SUV,16.98-26.38,燃油车,8
Model Y,西宁,102,SUV,26.35-31.35,新能源,9
凯美瑞,长沙,487,中型车,17.18-25.98,燃油车,13
奔驰C级,上海,485,中型车,33.48-38.06,燃油车,6
朗逸,济南,485,紧凑型车,8.00-15.19,燃油车,10
五菱宏光新能源,武汉,102,MPV,6.88-7.38,新能源,0
红旗H5,北京,478,中型车,15.98-22.58,燃油车,6
RAV4荣放,东莞,477,SUV,16.98-26.38,燃油车,8
探岳,成都,475,SUV,19.89-25.99,燃油车,13
零跑C16,天津,102,SUV,15.18-18.98,新能源,9
帕萨特,上海,474,中型车,16.45-23.99,燃油车,5
问界M8,石家庄,102,SUV,35.98-44.98,新能源,9
汉,石家庄,102,中大型车,16.58-25.98,新能源,11
速腾,北京,473,紧凑型车,12.79-17.29,燃油车,10
轩逸,沈阳,472,紧凑型车,10.86-17.49,燃油车,10
雷克萨斯ES,苏州,469,中大型车,29.69-48.89,燃油车,6
星愿,石家庄,463,小型车,6.88-9.78,燃油车,6
宋Pro新能源,杭州,102,SUV,10.28-14.28,新能源,9
本田CR-V,沈阳,463,SUV,18.59-26.39,燃油车,2
深蓝S05,成都,102,SUV,11.99-14.99,新能源,13
卡罗拉锐放,杭州,461,SUV,12.98-18.48,燃油车,8
星越L,乌鲁木齐,458,SUV,13.72-17.97,燃油车,13
奔驰GLC,北京,456,SUV,42.78-53.13,燃油车,13
极氪7X,无锡,103,SUV,22.99-26.99,新能源,9
迈腾,邯郸,455,中型车,17.49-24.69,燃油车,6
星纪元 ES,芜湖,103,中大型车,15.28-29.99,新能源,11
极氪007GT,台州,103,中型车,20.29-26.29,新能源,5
轩逸,中山,454,紧凑型车,10.86-17.49,燃油车,10
雷克萨斯ES,上海,453,中大型车,29.69-48.89,燃油车,6
卡罗拉锐放,深圳,450,SUV,12.98-18.48,燃油车,13
奥迪Q5L,上海,450,SUV,34.98-48.88,燃油车,6
海豹05 DM-i,深圳,103,紧凑型车,7.98-10.38,新能源,0
零跑C11,深圳,103,SUV,14.88-20.98,新能源,9
奔驰C级,成都,447,中型车,33.48-38.06,燃油车,6
AION Y,青岛,103,SUV,9.98-14.58,新能源,9
荣威i5,成都,445,紧凑型车,6.89-9.09,燃油车,10
轩逸,东莞,443,紧凑型车,10.86-17.49,燃油车,10
威兰达,广州,442,SUV,17.38-26.48,燃油车,8
昂科威Plus,上海,441,SUV,22.99-25.99,燃油车,6
秦PLUS,晋城,103,紧凑型车,7.98-17.98,新能源,0
极狐 阿尔法T5(ARCFOX αT5),北京,440,SUV,11.98-19.98,燃油车,13
问界M9,赣州,103,SUV,46.98-56.98,新能源,9
极氪007GT,常州,103,中型车,20.29-26.29,新能源,7
朗逸,苏州,436,紧凑型车,8.00-15.19,燃油车,10
极氪7X,西安,103,SUV,22.99-26.99,新能源,9
星越L,上海,436,SUV,13.72-17.97,燃油车,6
宝马5系,上海,433,中大型车,43.99-52.59,燃油车,12
阿维塔06,南京,103,中型车,20.99-27.99,新能源,7
本田CR-V,长沙,433,SUV,18.59-26.39,燃油车,2
卡罗拉,广州,432,紧凑型车,11.68-15.58,燃油车,10
长安Lumin,商丘,429,微型车,3.79-6.59,燃油车,6
宋Pro新能源,呼和浩特,103,SUV,10.28-14.28,新能源,9
长安Lumin,邢台,427,微型车,3.79-6.59,燃油车,6
海鸥,贵阳,103,小型车,6.98-8.58,新能源,0
长安UNI-Z新能源,重庆,103,SUV,11.79-13.39,新能源,0
锋兰达,东莞,426,SUV,12.58-18.48,燃油车,13
蔚来EC6,成都,103,SUV,35.80-41.60,新能源,13
星愿,无锡,425,小型车,6.88-9.78,燃油车,6
途观L,武汉,425,SUV,18.68-26.68,燃油车,13
迈腾,天津,423,中型车,17.49-24.69,燃油车,6
宋PLUS新能源,遵义,104,SUV,13.58-18.08,新能源,9
星愿,新乡,419,小型车,6.88-9.78,燃油车,6
RAV4荣放,佛山,419,SUV,16.98-26.38,燃油车,13
别克GL8,北京,417,MPV,23.29-47.39,燃油车,6
宝马3系,长沙,416,中型车,29.99-39.99,燃油车,6
秦PLUS,潍坊,104,紧凑型车,7.98-17.98,新能源,0
Model Y,台州,104,SUV,26.35-31.35,新能源,9
海鸥,泰安,104,小型车,6.98-8.58,新能源,0
红旗H5,郑州,413,中型车,15.98-22.58,燃油车,6
星越L,西安,413,SUV,13.72-17.97,燃油车,13
理想L8,宁波,104,SUV,32.18-37.98,新能源,9
问界M9,南通,104,SUV,46.98-56.98,新能源,9
海豹06新能源,临沂,104,中型车,9.98-13.98,新能源,7
Model Y,廊坊,104,SUV,26.35-31.35,新能源,9
海狮05 EV,嘉兴,104,SUV,11.78-13.78,新能源,9
帕萨特,石家庄,413,中型车,16.45-23.99,燃油车,5
宏光MINIEV,惠州,104,微型车,3.28-9.99,新能源,0
理想L9,佛山,104,SUV,40.98-43.98,新能源,9
长安Lumin,菏泽,409,微型车,3.79-6.59,燃油车,6
宏光MINIEV,亳州,104,微型车,3.28-9.99,新能源,0
极氪007GT,郑州,104,中型车,20.29-26.29,新能源,7
探岳,天津,409,SUV,19.89-25.99,燃油车,13
宝马3系,广州,409,中型车,29.99-39.99,燃油车,6
凯美瑞,苏州,408,中型车,17.18-25.98,燃油车,13
问界M9,乌鲁木齐,104,SUV,46.98-56.98,新能源,9
理想L9,武汉,104,SUV,40.98-43.98,新能源,9
星愿,青岛,408,小型车,6.88-9.78,燃油车,6
速腾,天津,408,紧凑型车,12.79-17.29,燃油车,10
途观L,北京,407,SUV,18.68-26.68,燃油车,13
奔驰C级,苏州,406,中型车,33.48-38.06,燃油车,6
皓影,东莞,405,SUV,18.59-26.39,燃油车,2
帕萨特,天津,405,中型车,16.45-23.99,燃油车,5
雷凌,杭州,404,紧凑型车,11.38-14.88,燃油车,10
秦L,呼和浩特,104,中型车,9.98-15.38,新能源,7
星瑞,成都,403,紧凑型车,9.97-14.57,燃油车,10
起亚EV5,广州,104,SUV,14.98-25.58,新能源,9
轩逸,唐山,402,紧凑型车,10.86-17.49,燃油车,10
奥迪Q5 e-tron,杭州,401,SUV,29.85-43.25,燃油车,13
宝马5系,苏州,400,中大型车,43.99-52.59,燃油车,12
小米SU7,广州,1041,中大型车,21.59-29.99,新能源,8
帕萨特,苏州,400,中型车,16.45-23.99,燃油车,5
Model Y,苏州,1044,SUV,26.35-31.35,新能源,8
秦PLUS,驻马店,105,紧凑型车,7.98-17.98,新能源,0
东风风神E70,广州,400,紧凑型车,14.28-15.38,燃油车,10
Model Y,宜昌,105,SUV,26.35-31.35,新能源,9
东风风神E70,成都,400,紧凑型车,14.28-15.38,燃油车,10
宝马5系,成都,400,中大型车,43.99-52.59,燃油车,12
宝马3系,南京,399,中型车,29.99-39.99,燃油车,6
星愿,苏州,396,小型车,6.88-9.78,燃油车,6
朗逸,北京,395,紧凑型车,8.00-15.19,燃油车,10
朗逸,太原,393,紧凑型车,8.00-15.19,燃油车,10
星愿,潍坊,392,小型车,6.88-9.78,燃油车,6
星越L,武汉,391,SUV,13.72-17.97,燃油车,13
探岳,沈阳,391,SUV,19.89-25.99,燃油车,13
AION RT,宁波,105,紧凑型车,11.98-16.58,新能源,0
星愿,南宁,391,小型车,6.88-9.78,燃油车,6
极氪7X,佛山,105,SUV,22.99-26.99,新能源,9
宏光MINIEV,鄂尔多斯,105,微型车,3.28-9.99,新能源,0
帕萨特,西安,389,中型车,16.45-23.99,燃油车,5
凯美瑞,佛山,388,中型车,17.18-25.98,燃油车,13
宋PLUS新能源,保定,105,SUV,13.58-18.08,新能源,9
熊猫,洛阳,384,微型车,2.99-5.39,燃油车,1
坦克300,乌鲁木齐,384,SUV,19.98-33.00,燃油车,13
海豹05 DM-i,西安,105,紧凑型车,7.98-10.38,新能源,0
星越L,重庆,383,SUV,13.72-17.97,燃油车,13
汉L,武汉,105,中大型车,20.98-27.98,新能源,11
问界M7,武汉,105,SUV,24.98-32.98,新能源,9
宝马3系,深圳,381,中型车,29.99-39.99,燃油车,6
曹操60,西安,381,紧凑型车,11.98-16.98,燃油车,10
元UP,南昌,105,SUV,9.68-11.98,新能源,9
锋兰达,宁波,380,SUV,12.58-18.48,燃油车,13
星越L,合肥,380,SUV,13.72-17.97,燃油车,13
皇冠陆放,广州,378,SUV,27.78-35.28,燃油车,10
深蓝S05,海口,105,SUV,11.99-14.99,新能源,9
智己LS6,上海,376,SUV,23.99-30.29,燃油车,6
沃尔沃XC60,上海,375,SUV,39.69-47.49,燃油车,6
途观L,杭州,375,SUV,18.68-26.68,燃油车,13
哈弗H6,长春,375,SUV,9.89-14.69,燃油车,13
赛那SIENNA,广州,373,MPV,29.98-41.18,燃油车,10
奔驰GLC,成都,373,SUV,42.78-53.13,燃油车,13
哈弗猛龙新能源,重庆,105,SUV,16.58-19.28,新能源,0
长安Lumin,廊坊,371,微型车,3.79-6.59,燃油车,6
途岳,温州,370,SUV,12.59-21.66,燃油车,13
坦克400新能源,成都,105,SUV,27.98-28.98,新能源,13
元UP,烟台,106,SUV,9.68-11.98,新能源,11
RAV4荣放,北京,369,SUV,16.98-26.38,燃油车,13
奔驰E级,成都,369,中大型车,44.72-59.98,燃油车,13
理想L6,潍坊,106,SUV,24.98-27.98,新能源,9
迈腾,沧州,368,中型车,17.49-24.69,燃油车,6
蔚来ET5T,苏州,106,中型车,29.80-35.60,新能源,7
迈腾,邢台,367,中型车,17.49-24.69,燃油车,6
零跑C10,深圳,106,SUV,12.28-16.88,新能源,9
RAV4荣放,哈尔滨,367,SUV,16.98-26.38,燃油车,13
朗逸,西安,366,紧凑型车,8.00-15.19,燃油车,10
途岳,上海,365,SUV,12.59-21.66,燃油车,6
星愿,汕头,364,小型车,6.88-9.78,燃油车,6
元PLUS,南通,106,SUV,11.58-14.78,新能源,9
星愿,武汉,364,小型车,6.88-9.78,燃油车,6
途岳,成都,363,SUV,12.59-21.66,燃油车,13
凯美瑞,深圳,361,中型车,17.18-25.98,燃油车,13
理想L6,临沂,106,SUV,24.98-27.98,新能源,9
宝马3系,武汉,361,中型车,29.99-39.99,燃油车,6
帕萨特,太原,360,中型车,16.45-23.99,燃油车,5
宋PLUS新能源,赣州,106,SUV,13.58-18.08,新能源,9
海狮05 EV,东莞,106,SUV,11.78-13.78,新能源,9
五菱宏光新能源,东莞,106,MPV,6.88-7.38,新能源,0
阿维塔06,东莞,106,中型车,20.99-27.99,新能源,7
宝马3系,郑州,359,中型车,29.99-39.99,燃油车,6
坦克300新能源,保定,106,SUV,24.98-26.98,新能源,9
理想L6,银川,106,SUV,24.98-27.98,新能源,9
海豹05 DM-i,乌鲁木齐,106,紧凑型车,7.98-10.38,新能源,0
极氪7X,武汉,106,SUV,22.99-26.99,新能源,9
问界M5,武汉,106,SUV,22.98-27.98,新能源,9
朗逸,青岛,355,紧凑型车,8.00-15.19,燃油车,10
奔驰C级,杭州,354,中型车,33.48-38.06,燃油车,6
蔚来ET9,上海,106,大型车,78.80-80.80,新能源,0
奔驰GLC,杭州,351,SUV,42.78-53.13,燃油车,13
RAV4荣放,杭州,351,SUV,16.98-26.38,燃油车,13
宋PLUS新能源,昆明,106,SUV,13.58-18.08,新能源,9
雷克萨斯ES,宁波,350,中大型车,29.69-48.89,燃油车,12
哈弗猛龙新能源,成都,106,SUV,16.58-19.28,新能源,13
皓影,沈阳,350,SUV,18.59-26.39,燃油车,2
问界M7,长沙,106,SUV,24.98-32.98,新能源,9
凯美瑞,沈阳,350,中型车,17.18-25.98,燃油车,13
轩逸,郑州,349,紧凑型车,10.86-17.49,燃油车,10
卡罗拉,成都,349,紧凑型车,11.68-15.58,燃油车,10
长安Lumin,焦作,348,微型车,3.79-6.59,燃油车,6
海鸥,信阳,107,小型车,6.98-8.58,新能源,0
元PLUS,邢台,107,SUV,11.58-14.78,新能源,9
宝来,长春,348,紧凑型车,11.29-14.39,燃油车,10
奔驰E级,北京,347,中大型车,44.72-59.98,燃油车,12
凯美瑞,宁波,345,中型车,17.18-25.98,燃油车,13
雅阁,佛山,345,中型车,17.98-23.88,燃油车,6
朗逸,临沂,344,紧凑型车,8.00-15.19,燃油车,10
奥迪A6L,长春,344,中大型车,42.79-65.68,燃油车,12
长安Lumin,保定,343,微型车,3.79-6.59,燃油车,6
奥迪A6L,石家庄,343,中大型车,42.79-65.68,燃油车,12
奥迪A6L,沈阳,343,中大型车,42.79-65.68,燃油车,12
赛那SIENNA,北京,342,MPV,29.98-41.18,燃油车,1
RAV4荣放,深圳,342,SUV,16.98-26.38,燃油车,13
速腾,西安,342,紧凑型车,12.79-17.29,燃油车,10
极狐考拉,南京,342,MPV,11.98-16.98,燃油车,1
长安Lumin,潍坊,341,微型车,3.79-6.59,燃油车,6
本田CR-V,乌鲁木齐,340,SUV,18.59-26.39,燃油车,2
秦L,安阳,107,中型车,9.98-15.38,新能源,7
零跑C11,天津,107,SUV,14.88-20.98,新能源,9
问界M8,太原,107,SUV,35.98-44.98,新能源,9
伊兰特,杭州,339,紧凑型车,9.98-14.98,燃油车,10
宝马5系,杭州,338,中大型车,43.99-52.59,燃油车,12
智界R7,南京,107,SUV,24.98-33.98,新能源,9
理想L9,济南,107,SUV,40.98-43.98,新能源,9
朗逸,合肥,337,紧凑型车,8.00-15.19,燃油车,10
理想L9,哈尔滨,107,SUV,40.98-43.98,新能源,9
长安CS75 PLUS,成都,337,SUV,11.39-14.99,燃油车,13
星愿,绍兴,336,小型车,6.88-9.78,燃油车,6
途观L,合肥,336,SUV,18.68-26.68,燃油车,13
极氪7X,重庆,107,SUV,22.99-26.99,新能源,0
奔驰C级,广州,336,中型车,33.48-38.06,燃油车,6
汉兰达,重庆,107,SUV,24.98-34.88,新能源,0
红旗H5,成都,336,中型车,15.98-22.58,燃油车,6
迈腾,济南,335,中型车,17.49-24.69,燃油车,6
奥迪A6L,成都,335,中大型车,42.79-65.68,燃油车,12
海豹06新能源,中山,108,中型车,9.98-13.98,新能源,7
途观L,苏州,334,SUV,18.68-26.68,燃油车,2
速腾,邯郸,334,紧凑型车,12.79-17.29,燃油车,10
速腾,昆明,334,紧凑型车,12.79-17.29,燃油车,10
途岳,杭州,334,SUV,12.59-21.66,燃油车,13
铂智3X,广州,333,SUV,10.98-15.98,燃油车,10
秦PLUS,嘉兴,108,紧凑型车,7.98-17.98,新能源,0
零跑C11,湖州,108,SUV,14.88-20.98,新能源,9
小米SU7,赣州,108,中大型车,21.59-29.99,新能源,11
宋Pro新能源,沧州,108,SUV,10.28-14.28,新能源,9
银河E5,郑州,332,SUV,11.28-14.88,燃油车,13
RAV4荣放,上海,332,SUV,16.98-26.38,燃油车,6
荣威i6 MAX新能源,郑州,108,紧凑型车,15.28-25.98,新能源,0
卡罗拉锐放,东莞,331,SUV,12.98-18.48,燃油车,13
轩逸,重庆,330,紧凑型车,10.86-17.49,燃油车,10
速腾,长春,330,紧凑型车,12.79-17.29,燃油车,10
星越L,苏州,329,SUV,13.72-17.97,燃油车,2
星愿,合肥,329,小型车,6.88-9.78,燃油车,6
ID.4 CROZZ,杭州,329,SUV,19.39-29.86,燃油车,13
坦克500新能源,沈阳,108,SUV,33.50-36.38,新能源,9
海豚,南昌,108,小型车,9.98-12.98,新能源,0
帕萨特,济南,328,中型车,16.45-23.99,燃油车,5
宋PLUS新能源,济南,108,SUV,13.58-18.08,新能源,9
星愿,邯郸,327,小型车,6.88-9.78,燃油车,6
银河L7,台州,326,SUV,11.58-16.97,燃油车,13
缤越,临沂,326,SUV,6.68-10.38,燃油车,13
速腾,郑州,325,紧凑型车,12.79-17.29,燃油车,10
阿维塔07,长沙,108,SUV,21.99-28.99,新能源,9
坦克300新能源,北京,108,SUV,24.98-26.98,新能源,9
RAV4荣放,成都,325,SUV,16.98-26.38,燃油车,13
问界M9,深圳,1081,SUV,46.98-56.98,新能源,8
海豚,淄博,109,小型车,9.98-12.98,新能源,0
极氪007GT,珠海,109,中型车,20.29-26.29,新能源,7
本田CR-V,广州,324,SUV,18.59-26.39,燃油车,2
威兰达,东莞,323,SUV,17.38-26.48,燃油车,13
海鸥,玉林,109,小型车,6.98-8.58,新能源,0
秦L,烟台,109,中型车,9.98-15.38,新能源,7
海豚,新乡,109,小型车,9.98-12.98,新能源,0
奥迪A4L,苏州,322,中型车,28.98-40.08,燃油车,6
星愿,西安,322,小型车,6.88-9.78,燃油车,6
沃尔沃XC60,成都,322,SUV,39.69-47.49,燃油车,13
奥迪A4L,成都,322,中型车,28.98-40.08,燃油车,6
宝马3系,北京,321,中型车,29.99-39.99,燃油车,6
迈腾,苏州,319,中型车,17.49-24.69,燃油车,6
元UP,泉州,109,SUV,9.68-11.98,新能源,9
星越L,沈阳,319,SUV,13.72-17.97,燃油车,13
秦L,秦皇岛,109,中型车,9.98-15.38,新能源,7
宋PLUS新能源,临沂,109,SUV,13.58-18.08,新能源,9
帕萨特,杭州,319,中型车,16.45-23.99,燃油车,5
帕萨特,武汉,318,中型车,16.45-23.99,燃油车,5
本田CR-V,太原,318,SUV,18.59-26.39,燃油车,2
迈腾,沈阳,318,中型车,17.49-24.69,燃油车,6
卡罗拉锐放,成都,318,SUV,12.98-18.48,燃油车,13
雷克萨斯ES,成都,318,中大型车,29.69-48.89,燃油车,13
迈腾,成都,318,中型车,17.49-24.69,燃油车,6
探岳,北京,317,SUV,19.89-25.99,燃油车,13
Model 3,东莞,109,中型车,23.19-33.95,新能源,7
本田CR-V,临沂,316,SUV,18.59-26.39,燃油车,2
长安启源A07,重庆,316,中大型车,11.99-17.69,燃油车,12
海豚,保定,109,小型车,9.98-12.98,新能源,0
帕萨特,合肥,315,中型车,16.45-23.99,燃油车,5
逸动,成都,315,紧凑型车,7.29-9.69,燃油车,3
星越L,北京,314,SUV,13.72-17.97,燃油车,13
AION UT,天津,109,小型车,6.98-10.18,新能源,0
途观L,昆明,314,SUV,18.68-26.68,燃油车,13
雷克萨斯ES,杭州,314,中大型车,29.69-48.89,燃油车,12
赛那SIENNA,沈阳,313,MPV,29.98-41.18,燃油车,1
Model 3,南宁,109,中型车,23.19-33.95,新能源,7
奥迪A6L,苏州,312,中大型车,42.79-65.68,燃油车,12
小米SU7,兰州,109,中大型车,21.59-29.99,新能源,11
格瑞维亚,临沂,311,MPV,29.98-41.68,燃油车,1
沃尔沃XC60,北京,310,SUV,39.69-47.49,燃油车,13
RAV4荣放,唐山,310,SUV,16.98-26.38,燃油车,13
星越L,东莞,310,SUV,13.72-17.97,燃油车,13
汉L,合肥,109,中大型车,20.98-27.98,新能源,11
本田CR-V,大连,310,SUV,18.59-26.39,燃油车,2
北京越野BJ40增程,重庆,109,SUV,17.98-29.98,新能源,0
星愿,安阳,310,小型车,6.88-9.78,燃油车,6
探岳,上海,310,SUV,19.89-25.99,燃油车,6
速腾,上海,310,紧凑型车,12.79-17.29,燃油车,6
赛那SIENNA,郑州,309,MPV,29.98-41.18,燃油车,1
凯美瑞,杭州,309,中型车,17.18-25.98,燃油车,13
雷克萨斯ES,北京,308,中大型车,29.69-48.89,燃油车,12
宝马3系,宁波,308,中型车,29.99-39.99,燃油车,6
卡罗拉锐放,乌鲁木齐,308,SUV,12.98-18.48,燃油车,13
宝马3系,合肥,308,中型车,29.99-39.99,燃油车,6
长安Lumin,南阳,307,微型车,3.79-6.59,燃油车,6
奥迪Q5L,苏州,306,SUV,34.98-48.88,燃油车,2
迈腾,合肥,306,中型车,17.49-24.69,燃油车,6
长安UNI-Z新能源,遵义,11,SUV,11.79-13.39,新能源,9
亚洲龙,佛山,304,中型车,17.88-27.98,燃油车,4
长安Lumin,滨州,304,微型车,3.79-6.59,燃油车,6
探岳,哈尔滨,304,SUV,19.89-25.99,燃油车,13
途观L,郑州,303,SUV,18.68-26.68,燃油车,13
红旗H5,广州,303,中型车,15.98-22.58,燃油车,6
速腾,重庆,303,紧凑型车,12.79-17.29,燃油车,10
